EQP_ID,SR_CODE,CNTRWK_NM,DIA_CODE,PIPE_PRESS,PLINE_LT,COMPET_DE,QLTY_GRADE,MIN_DPH,MAX_DPH,AVG_DPH,coordinates
30107776,S,94 분당1공구 지역난방 열배관 추가공사,80,16,8.02,19951130,B,0.16,1.3,0.92,"[[127.1404399, 37.4118073, 51.02], [127.1403797, 37.4118217, 51.02], [127.1403526, 37.4118267, 51.02]]"
30108815,S,2015년 분당사업소 열배관 추가 및 개선공사,125,16,16.43,20170810,A,1.1,1.5,1.37,"[[127.1281283, 37.4295372, 25.812], [127.1281235, 37.4295374, 25.795], [127.1280661, 37.4295365, 25.413], [127.128058, 37.4295365, 25.367], [127.1280561, 37.4295353, 25.381], [127.1280549, 37.4295337, 25.371], [127.1280551, 37.4295282, 25.382], [127.1280598, 37.4294457, 25.409]]"
30109103,S,분당지사 '97 추가사용자 열배관공사,40,16,12.22,19980930,B,0.02,1.0,0.61,"[[127.1118676, 37.3457399, 54.028], [127.1118652, 37.3457275, 54.65], [127.1117975, 37.3457271, 54.79], [127.1117962, 37.3457403, 54.72], [127.1117606, 37.3457395, 54.034]]"
30103928,S,성남 분당지구 지역난방 열배관공사(제1공구),125,16,29.78,19931231,B,1.0,1.2,1.1,"[[127.120631, 37.3751231, 40.41], [127.120601, 37.3750997, 40.35], [127.1204831, 37.3752088, 40.35], [127.1204031, 37.3751441, 40.38]]"
30105632,R,성남 도촌지구 열배관공사,250,16,23.09,20071231,A,0.15,1.0,0.58,"[[127.1508062, 37.4142565, 55.3], [127.1510584, 37.4143099, 55.3]]"
30109835,R,2004년 분당지사 열배관공사,125,16,23.8,20050614,A,0.8,1.5,1.15,"[[127.1430102, 37.4116176, 55.84], [127.1427427, 37.4115962, 55.2279]]"
30117270,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),200,16,13.2,19951231,A,1.2,1.2,1.2,"[[127.1086638, 37.3435055, 58.108], [127.1086596, 37.3433866, 58.108]]"
30105163,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),100,16,1.81,19951231,A,1.0,1.5,1.25,"[[127.1168497, 37.3640198, 66.72], [127.1168294, 37.3640191, 66.6129]]"
30105164,S,성남분당지구 열배관 및 열공급 시설공사(제2공구),100,16,3.15,19951231,B,1.0,1.5,1.25,"[[127.1168639, 37.364008, 66.72], [127.1168295, 37.3640151, 66.6065]]"
30106442,R,성남 분당지구 지역난방 열배관공사(제1공구),100,16,6.01,19931231,A,1.0,1.0,1.0,"[[127.1133799, 37.3777209, 37.9], [127.113401, 37.3777341, 37.9], [127.1134334, 37.3777543, 37.9]]"
30106927,S,성남분당지구 열배관 및 열공급 시설공사(제2공구),125,16,4.76,19951231,B,0.24,1.6,1.15,"[[127.1188616, 37.3350856, 72.79], [127.1188225, 37.3350856, 72.79], [127.118808, 37.3350849, 72.79]]"
30106928,S,성남분당지구 열배관 및 열공급 시설공사(제2공구),125,16,112.45,19951231,B,0.26,1.6,1.33,"[[127.118808, 37.3350849, 72.79], [127.1187243, 37.335081, 72.56], [127.118714, 37.3349565, 72.43], [127.118374, 37.3349677, 69.85], [127.1183582, 37.3345809, 71.82], [127.1183301, 37.3344208, 72.29]]"
30117621,R,2012년 분당지사 열배관시설 유지보수공사,250,16,2.9,20140805,A,1.3,1.3,1.3,"[[127.1162745, 37.3379287, 53.136], [127.1162758, 37.3379026, 53.202]]"
30117619,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),250,16,44.63,19951231,A,1.2,2.2,1.36,"[[127.1164025, 37.3382225, 51.668], [127.1164024, 37.3382025, 52.567], [127.1164025, 37.3381956, 52.577], [127.1164005, 37.338192, 52.589], [127.1163963, 37.3381906, 52.596], [127.1163275, 37.3381879, 52.653], [127.116282, 37.3381874, 52.698], [127.1162646, 37.3381872, 52.695], [127.1162606, 37.3381853, 52.685], [127.1162588, 37.3381824, 52.688], [127.1162597, 37.3381651, 52.729], [127.1162645, 37.3381062, 52.69], [127.116269, 37.3380379, 52.925], [127.1162707, 37.3379912, 52.988], [127.1162745, 37.3379287, 53.136]]"
30102508,S,성남분당지구 열배관 및 열공급 시설공사(제2공구),32,16,7.22,19951231,A,1.3,1.3,1.3,"[[127.1113044, 37.3475221, 54.201], [127.1113013, 37.347584, 56.39]]"
30117624,S,2012년 분당지사 열배관시설 유지보수공사,250,16,3.25,20140805,B,1.3,1.3,1.3,"[[127.1162811, 37.3379004, 53.193], [127.1162822, 37.3379296, 53.122]]"
30105432,R,성남 분당지구 지역난방 열배관공사(제1공구),65,16,0.85,19931231,A,1.5,1.6,1.55,"[[127.1396559, 37.4140874, 42.64], [127.1396546, 37.4140798, 42.64]]"
30107707,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),150,16,3.32,19951231,A,1.1,1.1,1.1,"[[127.1059075, 37.3527766, 49.518], [127.1059081, 37.3527456, 51.55]]"
30103566,S,2011년 분당지사 열배관공사,200,16,56.59,20121025,A,1.4,2.1,1.63,"[[127.1343107, 37.41872, 35.969], [127.1343167, 37.4187201, 35.992], [127.1343396, 37.4187203, 36.009], [127.1343495, 37.4187199, 35.994], [127.1343532, 37.4187214, 35.983], [127.1343549, 37.4187243, 35.963], [127.1343552, 37.4187298, 35.944], [127.1343553, 37.4187422, 35.883], [127.1343552, 37.4187492, 35.853], [127.1343573, 37.4187521, 35.835], [127.1343611, 37.4187534, 35.829], [127.1343701, 37.4187535, 35.842], [127.1345051, 37.4187524, 35.751], [127.13464, 37.4187425, 35.829], [127.1347747, 37.4187298, 36.065], [127.1348408, 37.4187239, 36.627], [127.1349026, 37.4187176, 36.746], [127.1349113, 37.4187171, 36.755]]"
30102543,R,성남 분당지구 지역난방 열배관공사(제1공구),250,16,8.88,19931231,B,2.2,2.2,2.2,"[[127.1165276, 37.3808081, 36.19], [127.1164622, 37.3808687, 36.19]]"
30104993,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),250,16,26.17,19951231,A,1.1,1.5,1.3,"[[127.1067068, 37.3656868, 43.99], [127.1070022, 37.3656904, 43.25]]"
30105545,R,성남 분당지구 지역난방 열배관공사(제1공구),65,16,3.83,19931231,A,2.0,2.0,2.0,"[[127.1121327, 37.3769156, 38.62], [127.1121591, 37.3768883, 38.62]]"
30103580,S,2011년 분당지사 열배관공사,200,16,26.88,20121025,A,1.0,1.7,1.34,"[[127.1337508, 37.4187372, 35.167], [127.1337507, 37.4187333, 35.553], [127.1337506, 37.4187234, 35.557], [127.1337516, 37.4187044, 35.645], [127.1337516, 37.4186979, 35.696], [127.1337535, 37.4186949, 35.706], [127.133757, 37.4186932, 35.698], [127.1337654, 37.4186934, 35.655], [127.1338461, 37.4186929, 35.376], [127.1338545, 37.418693, 35.351], [127.1338583, 37.4186915, 35.345], [127.1338601, 37.4186885, 35.345], [127.13386, 37.4186823, 35.357], [127.1338624, 37.4185851, 35.009], [127.1338627, 37.4185787, 35.343]]"
30104278,S,성남분당지구 열배관 및 열공급 시설공사(제2공구),65,16,20.79,19951231,A,0.03,0.36,0.15,"[[127.1138413, 37.3454996, 53.13], [127.1138691, 37.3454988, 53.13], [127.1138742, 37.3456639, 52.88]]"
